ID	IsHide	LastName	FristName	Desc	Sex	Age	BodyType	Hair	Beard	ClothesStuff	BodyColor	BackStory1	BackStory2	BackStory3	Feature1	Feature2	Feature3	Experience1	Experience2	Experience3	Experience4	Relation1	Relation2	Relation3	Seed	Eyebrows	REye	LEye	Nose	Mouth	Ear	Yinji	Bahen	Shipin	IsCreat
ID	"是否隐藏 1 不参与随机但参与创建
 2 不参与随机也不参与创建"	姓	名	轮回者来源	性别(1男2女)	年龄	身体类型(1正常2壮3胖)	头发ID	胡须ID	衣服主材料	肤色(正常0白1黑2黄3)	背景故事1	背景故事2	背景故事3	附加特性1	附加特性2	附加特性3	经历1	经历2	经历3	经历4	关系1(ID|NAME)	关系2(ID|NAME)	关系3(ID|NAME)		眉毛ID	右眼ID	左眼ID	鼻子ID	嘴巴ID	耳朵ID	印记ID	疤痕ID	饰品ID	创建方式
680602001	1	凌	杰帆	天剑山庄弟子	1	18	1	1	-1	Item_WhiteCloth	1	680602002	680602108	680602238												2	2	2	1	2	1	0	0	0
680602002	1	凌	荣材	天剑山庄弟子	1	18	1	1	-1	Item_WhiteCloth	1	680602002	680602108	680602238												2	2	2	1	2	1	0	0	0
680602003	1	凌	睿凡	天剑山庄弟子	1	18	1	1	-1	Item_WhiteCloth	1	680602002	680602108	680602238												2	2	2	1	2	1	0	0	0
680602004	1	凌	辰盛	天剑山庄弟子	1	18	1	1	-1	Item_WhiteCloth	1	680602002	680602108	680602238												2	2	2	1	2	1	0	0	0
680602005	1	凌	成德	天剑山庄弟子	1	18	1	1	-1	Item_WhiteCloth	1	680602002	680602108	680602238												2	2	2	1	2	1	0	0	0
680602006	1	凌	帝梓	天剑山庄弟子	1	18	1	1	-1	Item_WhiteCloth	1	680602002	680602108	680602238												2	2	2	1	2	1	0	0	0
680602007	1	凌	沛泽	天剑山庄弟子	1	18	1	1	-1	Item_WhiteCloth	1	680602002	680602108	680602238												2	2	2	1	2	1	0	0	0
680602008	1	凌	诚佳	天剑山庄弟子	1	18	1	1	-1	Item_WhiteCloth	1	680602002	680602108	680602238												2	2	2	1	2	1	0	0	0
680602009	1	凌	运梓	天剑山庄弟子	1	18	1	1	-1	Item_WhiteCloth	1	680602002	680602108	680602238												2	2	2	1	2	1	0	0	0
680602010	1	凌	升枫	天剑山庄弟子	1	18	1	1	-1	Item_WhiteCloth	1	680602002	680602108	680602238												2	2	2	1	2	1	0	0	0
